"Codigo";"Modelo";"Tipo";"Piezas";"Falta";"Despiece propuesto"
"TTD13V0000107";"TTD 63/13 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000139 BOBBAJ0000140 BOBBAJ0000141 BOBALT0000139 BOBALT0000140 BOBALT0000141 PRESUP0000125 PREINF0000114 PARDIS0000042 CUBDIS0000022 TAPDIS0000118"
"TTD13V0000108";"TTD 100/13 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000244 BOBBAJ0000245 BOBBAJ0000246 BOBALT0000244 BOBALT0000245 BOBALT0000246 PRESUP0000126 PREINF0000115 PARDIS0000043 CUBDIS0000023 TAPDIS0000119"
"TTD13V0000109";"TTD 125/13 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000247 BOBBAJ0000248 BOBBAJ0000249 BOBALT0000247 BOBALT0000248 BOBALT0000249 PRESUP0000127 PREINF0000116 PARDIS0000044 CUBDIS0000024 TAPDIS0000120"
"TTD13V0000110";"TTD 160/13 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000250 BOBBAJ0000251 BOBBAJ0000252 BOBALT0000250 BOBALT0000251 BOBALT0000252 PRESUP0000128 PREINF0000117 PARDIS0000045 CUBDIS0000025 TAPDIS0000121"
"TTD13V0000111";"TTD 200/13 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000253 BOBBAJ0000254 BOBBAJ0000255 BOBALT0000253 BOBALT0000254 BOBALT0000255 PRESUP0000129 PREINF0000118 PARDIS0000046 CUBDIS0000026 TAPDIS0000122"
"TTD13V0000112";"TTD 250/13 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000256 BOBBAJ0000257 BOBBAJ0000258 BOBALT0000256 BOBALT0000257 BOBALT0000258 PRESUP0000130 PREINF0000119 PARDIS0000047 CUBDIS0000027 TAPDIS0000123"
"TTD13V0000113";"TTD 160/13 - Llenado Integral - Monoposte - Cobre - TIPO EDENOR";"NUEVO";"11";"completo";"BOBBAJ0000160 BOBBAJ0000161 BOBBAJ0000162 BOBALT0000160 BOBALT0000161 BOBALT0000162 PRESUP0000076 PREINF0000076 PARDIS0000007 CUBDIS0000007 TAPDIS0000083"
"TTD13V0000114";"TTD 200/13 - Tanque Expansion - Plataforma - Cobre - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000163 BOBBAJ0000164 BOBBAJ0000165 BOBALT0000163 BOBALT0000164 BOBALT0000165 PRESUP0000077 PREINF0000077 PARDIS0000008 CUBDIS0000044 TANDIS0000008 TAPDIS0000008"
"TTD13V0000115";"TTD 315/13 - Tanque Expansion - Plataforma - Cobre - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000169 BOBBAJ0000170 BOBBAJ0000171 BOBALT0000169 BOBALT0000170 BOBALT0000171 PRESUP0000079 PREINF0000079 PARDIS0000010 CUBDIS0000046 TANDIS0000010 TAPDIS0000010"
"TTD13V0000116";"TTD 500/13 - Tanque Expansion - Plataforma - Cobre - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000175 BOBBAJ0000176 BOBBAJ0000177 BOBALT0000175 BOBALT0000176 BOBALT0000177 PRESUP0000081 PREINF0000081 PARDIS0000012 CUBDIS0000048 TANDIS0000012 TAPDIS0000012"
"TTD13V0000117";"TTD 630/13 - Tanque Expansion - Plataforma - Cobre - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000178 BOBBAJ0000179 BOBBAJ0000180 BOBALT0000178 BOBALT0000179 BOBALT0000180 PRESUP0000083 PRESUP0000082 PARDIS0000013 CUBDIS0000049 TANDIS0000013 TAPDIS0000013"
"TTD13V0000118";"TTD 800/13 - Tanque Expansion - Plataforma - Cobre - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000181 BOBBAJ0000182 BOBBAJ0000183 BOBALT0000181 BOBALT0000182 BOBALT0000183 PRESUP0000085 PRESUP0000084 PARDIS0000014 CUBDIS0000050 TANDIS0000014 TAPDIS0000014"
"TTD13V0000119";"TTD 160/13 - Tanque Expansion - Plataforma - Aluminio - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000250 BOBBAJ0000251 BOBBAJ0000252 BOBALT0000250 BOBALT0000251 BOBALT0000252 PRESUP0000128 PREINF0000117 PARDIS0000045 CUBDIS0000081 TANDIS0000045 TAPDIS0000045"
"TTD13V0000120";"TTD 200/13 - Tanque Expansion - Plataforma - Aluminio - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000253 BOBBAJ0000254 BOBBAJ0000255 BOBALT0000253 BOBALT0000254 BOBALT0000255 PRESUP0000129 PREINF0000118 PARDIS0000046 CUBDIS0000082 TANDIS0000046 TAPDIS0000046"
"TTD13V0000121";"TTD 315/13 - Tanque Expansion - Plataforma - Aluminio - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000259 BOBBAJ0000260 BOBBAJ0000261 BOBALT0000259 BOBALT0000260 BOBALT0000261 PRESUP0000131 PREINF0000120 PARDIS0000048 CUBDIS0000084 TANDIS0000048 TAPDIS0000048"
"TTD33V0000095";"TTD 16/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000334 BOBBAJ0000335 BOBBAJ0000336 BOBALT0000334 BOBALT0000335 BOBALT0000336 PRESUP0000096 PREINF0000091 PARDIS0000020 CUBDIS0000010 TAPDIS0000096"
"TTD33V0000096";"TTD 25/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000121 BOBBAJ0000122 BOBBAJ0000123 BOBALT0000121 BOBALT0000122 BOBALT0000123 PRESUP0000097 PREINF0000092 PARDIS0000021 CUBDIS0000011 TAPDIS0000097"
"TTD33V0000097";"TTD 40/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000124 BOBBAJ0000125 BOBBAJ0000126 BOBALT0000124 BOBALT0000125 BOBALT0000126 PRESUP0000098 PREINF0000093 PARDIS0000022 CUBDIS0000012 TAPDIS0000098"
"TTD33V0000098";"TTD 63/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000127 BOBBAJ0000128 BOBBAJ0000129 BOBALT0000127 BOBALT0000128 BOBALT0000129 PRESUP0000099 PREINF0000094 PARDIS0000023 CUBDIS0000013 TAPDIS0000099"
"TTD33V0000099";"TTD 100/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000199 BOBBAJ0000200 BOBBAJ0000201 BOBALT0000199 BOBALT0000200 BOBALT0000201 PRESUP0000100 PREINF0000095 PARDIS0000024 CUBDIS0000014 TAPDIS0000100"
"TTD33V0000100";"TTD 125/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000202 BOBBAJ0000203 BOBBAJ0000204 BOBALT0000202 BOBALT0000203 BOBALT0000204 PRESUP0000101 PREINF0000096 PARDIS0000025 CUBDIS0000015 TAPDIS0000101"
"TTD33V0000101";"TTD 160/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000205 BOBBAJ0000206 BOBBAJ0000207 BOBALT0000205 BOBALT0000206 BOBALT0000207 PRESUP0000102 PREINF0000097 PARDIS0000026 CUBDIS0000016 TAPDIS0000102"
"TTD33V0000102";"TTD 200/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000208 BOBBAJ0000209 BOBBAJ0000210 BOBALT0000208 BOBALT0000209 BOBALT0000210 PRESUP0000103 PREINF0000098 PARDIS0000027 CUBDIS0000017 TAPDIS0000103"
"TTD33V0000103";"TTD 250/33 - Llenado Integral - Monoposte - Cobre";"NUEVO";"11";"completo";"BOBBAJ0000211 BOBBAJ0000212 BOBBAJ0000213 BOBALT0000211 BOBALT0000212 BOBALT0000213 PRESUP0000104 PREINF0000099 PARDIS0000028 CUBDIS0000018 TAPDIS0000104"
"TTD33V0000104";"TTD 16/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000142 BOBBAJ0000143 BOBBAJ0000144 BOBALT0000142 BOBALT0000143 BOBALT0000144 PRESUP0000148 PREINF0000132 PARDIS0000058 CUBDIS0000028 TAPDIS0000134"
"TTD33V0000105";"TTD 25/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000145 BOBBAJ0000146 BOBBAJ0000147 BOBALT0000145 BOBALT0000146 BOBALT0000147 PRESUP0000149 PREINF0000133 PARDIS0000059 CUBDIS0000029 TAPDIS0000135"
"TTD33V0000106";"TTD 40/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000148 BOBBAJ0000149 BOBBAJ0000150 BOBALT0000148 BOBALT0000149 BOBALT0000150 PRESUP0000150 PREINF0000134 PARDIS0000060 CUBDIS0000030 TAPDIS0000136"
"TTD33V0000107";"TTD 63/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000151 BOBBAJ0000152 BOBBAJ0000153 BOBALT0000151 BOBALT0000152 BOBALT0000153 PRESUP0000151 PREINF0000135 PARDIS0000061 CUBDIS0000031 TAPDIS0000137"
"TTD33V0000108";"TTD 100/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000289 BOBBAJ0000337 BOBBAJ0000290 BOBALT0000289 BOBALT0000337 BOBALT0000290 PRESUP0000152 PREINF0000136 PARDIS0000062 CUBDIS0000032 TAPDIS0000138"
"TTD33V0000109";"TTD 125/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000292 BOBBAJ0000293 BOBBAJ0000294 BOBALT0000292 BOBALT0000293 BOBALT0000294 PRESUP0000153 PREINF0000137 PARDIS0000063 CUBDIS0000033 TAPDIS0000139"
"TTD33V0000110";"TTD 160/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000295 BOBBAJ0000296 BOBBAJ0000297 BOBALT0000295 BOBALT0000296 BOBALT0000297 PRESUP0000154 PREINF0000138 PARDIS0000064 CUBDIS0000034 TAPDIS0000140"
"TTD33V0000111";"TTD 200/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000298 BOBBAJ0000299 BOBBAJ0000300 BOBALT0000298 BOBALT0000299 BOBALT0000300 PRESUP0000155 PREINF0000139 PARDIS0000065 CUBDIS0000035 TAPDIS0000141"
"TTD33V0000112";"TTD 250/33 - Llenado Integral - Monoposte - Aluminio";"NUEVO";"11";"completo";"BOBBAJ0000301 BOBBAJ0000302 BOBBAJ0000303 BOBALT0000301 BOBALT0000302 BOBALT0000303 PRESUP0000156 PREINF0000140 PARDIS0000066 CUBDIS0000036 TAPDIS0000142"
"TTD33V0000113";"TTD 63/33 - Tanque Expansion - Plataforma - Aluminio - TIPO DPEC";"NUEVO";"12";"completo";"BOBBAJ0000151 BOBBAJ0000152 BOBBAJ0000153 BOBALT0000151 BOBALT0000152 BOBALT0000153 PRESUP0000151 PREINF0000135 PARDIS0000061 CUBDIS0000031 TANDIS0000061 TAPDIS0000061"
